q,firm_id,firm_idx,is_active,is_dormant,defaulted,net_sales,units_sold,units_produced,cash,capability,brand,rd_cum_product,product_gen,geo_focus,patient_seg
4,firm_0,0,True,False,False,25000000.0,250,0,135259741.04861483,63.583324754075,72.45028734227536,43500000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
4,firm_1,1,True,False,False,29250000.0,195,0,407258971.0996641,60.58116002249999,59.14521703523962,40500000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
4,firm_2,2,True,False,False,16250000.0,250,0,494334814.49714726,56.70901420404199,49.0369743399238,12600000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
4,firm_3,3,True,False,False,18750000.0,250,0,172593750.0,48.256,45.81792,3500000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
4,firm_4,4,True,False,False,18750000.0,250,0,423252754.2629018,45.54967235312499,66.74834245003008,11000000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
4,firm_5,5,True,False,False,17500000.0,250,0,92604458.33333334,37.074374999999996,31.690317621892504,0.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
5,firm_0,0,True,False,False,25000000.0,250,0,325504481.6768267,65.31494241765148,74.37542028883303,54900000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
5,firm_1,1,True,False,False,55050000.0,367,0,431864001.24766564,59.06663102193749,57.258806891844905,40500000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
5,firm_2,2,True,False,False,20000000.0,250,0,2135571759.255565,56.9882954921425,51.481261946233595,17500000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
5,firm_3,3,True,False,False,18750.0,250,0,154148577.7874148,47.3807616,46.2561800687616,4300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
5,firm_4,4,True,False,False,17500000.0,250,0,398830511.1376867,44.75941264123687,70.24027484557584,11800000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
5,firm_5,5,True,False,False,9975000.0,133,0,58968666.66666668,38.161135625,40.297591189571605,4000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
6,firm_0,0,True,False,False,25000000.0,250,0,276729896.241557,67.17832266151092,76.20163035385328,67500000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
6,firm_1,1,True,False,False,36250000.0,250,0,415726433.90387565,60.3734343368973,57.91379781232816,49000000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
6,firm_2,2,True,False,False,22500000.0,250,0,2130616102.5727515,56.76791583105894,53.363148712092325,21000000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
6,firm_3,3,True,False,False,23750000.0,250,0,152633348.70941803,46.19624256,43.46398670802288,4300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
6,firm_4,4,True,False,False,16250000.0,250,0,398376278.5026507,43.90558214452801,73.35630912764938,12400000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
6,firm_5,5,True,False,False,27525000.0,367,0,111199051.10571954,41.164794554375,43.4445139878394,12000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
7,firm_0,0,True,False,False,26250000.0,250,0,1199808999.8661585,69.43746587559183,78.38970381282087,82500000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
7,firm_1,1,True,False,False,36250000.0,250,0,420330216.4199865,59.11770849871872,55.87658088479953,49800000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
7,firm_2,2,True,False,False,23250000.0,250,0,2070678516.3853688,58.66894199945714,53.963800673728564,30600000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
7,firm_3,3,True,False,False,22500000.0,250,0,159047354.61882165,45.041336496,41.389811740788645,4300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
7,firm_4,4,True,False,False,15625000.0,250,0,980406542.0345267,42.80794259091481,73.87300607949929,12400000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
7,firm_5,5,True,False,False,17500000.0,250,0,79091473.35645252,44.371809482600625,47.13199021007176,21000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
8,firm_0,0,True,False,False,23750000.0,250,0,1147622953.185527,71.36903332363102,79.7566948234388,97500000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
8,firm_1,1,True,False,False,36250000.0,250,0,423516551.0126624,57.937061810048064,55.7080305005225,50709000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
8,firm_2,2,True,False,False,25000000.0,250,0,2056000778.302949,61.04435360120117,56.244714951267724,42220000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
8,firm_3,3,True,False,False,20000000.0,250,0,164717283.52822527,43.9153030836,39.54752722069481,4300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
8,firm_4,4,True,False,False,13750000.0,250,0,957686475.2603096,41.73774402614194,74.99985171149414,12400000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
8,firm_5,5,True,False,False,17500000.0,250,0,343637505.18498397,46.60020567657957,50.5119711295888,28500000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
9,firm_0,0,True,False,False,23750000.0,250,0,1092064996.4105337,72.67695189158809,82.26727438360969,111000000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
9,firm_1,1,True,False,False,33750000.0,250,0,419053741.5802863,57.06069122418021,57.031180223079396,52409000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
9,firm_2,2,True,False,False,21250000.0,250,0,2041163211.8710144,62.79051905867024,56.2293709502569,52720000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
9,firm_3,3,True,False,False,22500000.0,250,0,221773537.4376289,42.81742050651,37.98208429645597,4300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
9,firm_4,4,True,False,False,13750000.0,250,0,932861347.2072973,40.69430042548839,74.8045367944084,12400000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
9,firm_5,5,True,False,False,17500000.0,250,0,1202234894.768134,49.27998572595135,56.184382322716885,37500000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
10,firm_0,0,True,False,False,21250000.0,250,0,1014628836.4373311,76.10605333111347,83.88023295449864,135000000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
10,firm_1,1,True,False,False,30000000.0,250,0,410997530.61521727,56.20646905093983,58.26061310226759,54075000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
10,firm_2,2,True,False,False,23000000.0,250,0,2028590483.2331915,64.76309866781808,54.72900463156803,64620000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
10,firm_3,3,True,False,False,23750000.0,250,0,225335648.0038616,41.74698499384725,36.57377832486472,4300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
10,firm_4,4,True,False,False,15000000.0,250,0,910063656.0436827,39.67694291485118,74.51408175516444,12400000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
10,firm_5,5,True,False,False,22500000.0,250,0,1158165370.500206,52.30846728182265,60.606377604197874,48000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
11,firm_0,0,True,False,False,21250000.0,250,0,944730318.6542935,77.75882126216594,84.1228310269649,153600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
11,firm_1,1,True,False,False,30000000.0,250,0,407609921.90177625,55.382885415669854,56.534227959423205,55735000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
11,firm_2,2,True,False,False,18750000.0,250,0,1912776066.6132414,67.20331223458999,54.533506060116196,79020000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
11,firm_3,3,True,False,False,22500000.0,250,0,219233042.04215044,40.703310369001066,35.69664669309097,4300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
11,firm_4,4,True,False,False,16250000.0,250,0,883319527.3800681,38.6850193419799,74.76045887851973,12400000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
11,firm_5,5,True,False,False,23750000.0,250,0,1122144150.8868165,54.43454595548586,64.12762288192339,57000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
12,firm_0,0,True,False,False,20000000.0,250,0,864927082.8472161,79.55136875856792,85.39072075971966,174600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
12,firm_1,1,True,False,False,26250000.0,250,0,392078986.9927603,54.605106038624996,55.88730388316071,57435000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
12,firm_2,2,True,False,False,20000000.0,250,0,1798546174.8461497,67.88459094783475,55.4967033298582,88020000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
12,firm_3,3,True,False,False,25000000.0,250,0,220803974.3345736,39.875477016595234,36.05302104490985,4700000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
12,firm_4,4,False,False,True,16750000.0,250,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
12,firm_5,5,True,False,False,21250000.0,250,0,1093549623.6254854,54.89630046837928,68.55232650598491,62000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
13,firm_0,0,True,False,False,21250000.0,250,0,780949607.3732731,81.48872173795868,87.6905060122574,198600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
13,firm_1,1,True,False,False,26250000.0,250,0,382852882.8555131,54.16603422447142,55.66412749023638,59985000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
13,firm_2,2,True,False,False,21250000.0,250,0,1778616774.7846966,70.14409456936563,56.291317986466076,103420000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
13,firm_3,3,True,False,False,26250000.0,250,0,216854111.99403295,39.119088183113966,35.12513104450348,5200000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
13,firm_4,4,False,False,True,0.0,0,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
13,firm_5,5,True,False,False,22500000.0,250,0,1069621037.5961614,55.68887053418759,72.83212187426157,68000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
13,firm_6,6,True,True,False,0.0,0,0,2500000.0,45.0,10.0,1000000.0,1,Asia-Pacific (Singapore + Tokyo specialty centers),"Insurance-covered, broad demographic with cost-sensitivity"
14,firm_0,0,True,False,False,21250000.0,250,0,690830299.8367457,83.00566912082165,89.58926364479589,222600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
14,firm_1,1,True,False,False,26250000.0,250,0,369111885.7452702,53.80189702961105,55.44705239989393,62685000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
14,firm_2,2,True,False,False,22500000.0,250,0,1757375115.2460148,72.2359328245972,57.56047451830369,119520000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
14,firm_3,3,True,False,False,26250000.0,250,0,218130284.8765809,38.433339355257175,34.27735594556807,5800000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
14,firm_4,4,False,False,True,0.0,0,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
14,firm_5,5,True,False,False,23750000.0,250,0,1045101629.448522,56.0690939494654,72.5841199683281,73000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
14,firm_6,6,True,False,False,23500000.0,250,0,58935625.0,43.875,11.673,1000000.0,1,Asia-Pacific (Singapore + Tokyo specialty centers),"Insurance-covered, broad demographic with cost-sensitivity"
14,firm_7,7,True,True,False,0.0,0,0,1500000.0,65.0,10.0,5000000.0,1,Latin America (São Paulo/Mexico City premium tier),Cash-pay premium tier (concierge medicine partnerships)
15,firm_0,0,True,False,False,22500000.0,250,0,600238927.9019938,86.36871327413819,89.82057398948278,262600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
15,firm_1,1,True,False,False,26250000.0,250,0,454357410.74408084,53.45472862803118,54.810272430407124,65385000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
15,firm_2,2,True,False,False,21250000.0,250,0,1740543011.9212258,73.53961002762739,57.322612747719795,133520000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
15,firm_3,3,True,False,False,23750000.0,250,0,201149997.78056234,39.196372369428545,35.39631357909502,9300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
15,firm_4,4,False,False,True,0.0,0,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
15,firm_5,5,True,False,False,23750000.0,250,0,1014100082.3605214,56.42460284275015,72.47361149388963,78000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
15,firm_6,6,True,False,False,20492000.0,218,0,59912413.333333336,42.778124999999996,12.830908275,1000000.0,1,Asia-Pacific (Singapore + Tokyo specialty centers),"Insurance-covered, broad demographic with cost-sensitivity"
15,firm_7,7,True,False,False,20500000.0,250,0,76065625.0,63.375,16.02,5000000.0,1,Latin America (São Paulo/Mexico City premium tier),Cash-pay premium tier (concierge medicine partnerships)
15,firm_8,8,True,True,False,0.0,0,0,2000000.0,30.0,10.0,1000000.0,1,Global multi-region (no specific geographic concentration),Diabetic / metabolic-syndrome subset
16,firm_0,0,True,False,False,23000000.0,250,0,507116238.9974348,88.57150719456051,90.41160968130721,302600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
16,firm_1,1,True,False,False,26250000.0,250,0,414390890.91280496,53.23544692525765,54.787907736466785,68385000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
16,firm_2,2,True,False,False,18750000.0,250,0,1728345693.661377,73.92379253461601,55.35652557158468,144020000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
16,firm_3,3,True,False,False,23750000.0,250,0,187837993.1377396,39.18932110228197,36.41469649009037,11300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
16,firm_4,4,False,False,True,0.0,0,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
16,firm_5,5,True,False,False,23750000.0,250,0,998439812.7436115,56.75700365797139,72.7979323478692,83000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
16,firm_6,6,True,False,False,26508000.0,282,0,176245042.9,41.70867187499999,13.673307719610653,1000000.0,1,Asia-Pacific (Singapore + Tokyo specialty centers),"Insurance-covered, broad demographic with cost-sensitivity"
16,firm_7,7,True,False,False,20500000.0,250,0,77155394.16666667,61.790625,21.603013875000002,5000000.0,1,Latin America (São Paulo/Mexico City premium tier),Cash-pay premium tier (concierge medicine partnerships)
16,firm_8,8,True,True,False,0.0,0,0,2000000.0,30.0,10.0,1000000.0,1,Global multi-region (no specific geographic concentration),Diabetic / metabolic-syndrome subset
16,firm_9,9,True,True,False,0.0,0,0,2000000.0,40.0,10.0,500000.0,1,Direct-to-consumer telemedicine (no clinic dependency),Cardiovascular high-risk subset
17,firm_0,0,False,False,True,22500000.0,250,0,444731341.057263,89.28291367288901,91.67301203473286,334600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
17,firm_1,1,True,False,False,26250000.0,250,0,376425576.5568264,53.1765565957592,54.670455389882555,71785000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
17,firm_2,2,True,False,False,27830000.0,242,0,1736704344.1374748,72.0756977212506,52.93957613430494,144020000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
17,firm_3,3,True,False,False,24500000.0,250,0,191455854.16032156,38.20958807472492,38.837802984593964,11300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
17,firm_4,4,False,False,True,0.0,0,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
17,firm_5,5,True,False,False,23000000.0,250,0,981096056.6438347,57.067798420203246,75.88393643971129,88000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
17,firm_6,6,True,False,False,19765406.0,218,0,176793322.32666668,40.665955078124995,14.4663199570757,1000000.0,1,Asia-Pacific (Singapore + Tokyo specialty centers),"Insurance-covered, broad demographic with cost-sensitivity"
17,firm_7,7,True,False,False,20500000.0,250,0,263179769.1666667,60.245859374999995,31.795419352989203,5000000.0,1,Latin America (São Paulo/Mexico City premium tier),Cash-pay premium tier (concierge medicine partnerships)
17,firm_8,8,True,True,False,0.0,0,0,2000000.0,30.0,10.0,1000000.0,1,Global multi-region (no specific geographic concentration),Diabetic / metabolic-syndrome subset
17,firm_9,9,True,False,False,23750000.0,250,0,93232291.66666666,40.44,15.48,3500000.0,1,Direct-to-consumer telemedicine (no clinic dependency),Cardiovascular high-risk subset
18,firm_0,0,False,False,True,0.0,0,0,419598007.72392964,90.01433721243713,90.39912476158834,342600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
18,firm_1,1,True,False,False,26250000.0,250,0,346281076.21279776,53.191657850907355,54.58028478256361,75385000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
18,firm_2,2,True,False,False,23750000.0,250,0,1729277604.1327348,71.74712245917644,52.20951550717812,151020000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
18,firm_3,3,True,False,False,22250000.0,250,0,170155434.79493666,38.22325875554972,37.546412084131205,13300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
18,firm_4,4,False,False,True,0.0,0,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
18,firm_5,5,True,False,False,23750000.0,250,0,952207647.4925659,57.35839152289004,73.81327253716275,93000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
18,firm_6,6,True,False,False,23500000.0,250,0,183841026.66666666,39.64930620117187,15.628419554087337,1000000.0,1,Asia-Pacific (Singapore + Tokyo specialty centers),"Insurance-covered, broad demographic with cost-sensitivity"
18,firm_7,7,True,False,False,21250000.0,250,0,299275613.39716935,59.660334569625,33.27745013633066,8000000.0,1,Latin America (São Paulo/Mexico City premium tier),Cash-pay premium tier (concierge medicine partnerships)
18,firm_8,8,True,True,False,0.0,0,0,2000000.0,30.0,10.0,1000000.0,1,Global multi-region (no specific geographic concentration),Diabetic / metabolic-syndrome subset
18,firm_9,9,True,False,False,46250000.0,250,0,21096963.334889352,40.286663999999995,15.47009496,5300000.0,1,Direct-to-consumer telemedicine (no clinic dependency),Cardiovascular high-risk subset
19,firm_0,0,False,False,True,0.0,0,0,419598007.72392964,90.01433721243713,90.39912476158834,342600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
19,firm_1,1,True,False,False,24675000.0,235,0,305613580.8670772,52.91037326877434,55.08361280971129,78185000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
19,firm_2,2,True,False,False,24250000.0,250,0,1630637360.5928085,70.74452496884008,52.286105909843144,154520000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
19,firm_3,3,True,False,False,23560000.0,248,0,158639647.4495874,37.26767728666098,38.88541545629693,13300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
19,firm_4,4,False,False,True,0.0,0,0,852375085.6058509,38.306517672747404,75.66625128617011,13600000.0,1,Western Europe (UK/Germany NHS + private),Geriatric patients (75+) with complex polypharmacy
19,firm_5,5,True,False,False,23750000.0,250,0,923416352.0237516,56.60669747045155,73.41637811774882,95000000.0,1,Nordic + Benelux (Karolinska + Erasmus partnerships),Mid-life patients (50-65) with strong family history
19,firm_6,6,True,False,False,21840000.0,208,0,174600580.0,38.65807354614257,18.581698346177276,1000000.0,1,Asia-Pacific (Singapore + Tokyo specialty centers),"Insurance-covered, broad demographic with cost-sensitivity"
19,firm_7,7,True,False,False,22500000.0,250,0,299474263.70147353,58.556086993515976,37.71204993669734,9200000.0,1,Latin America (São Paulo/Mexico City premium tier),Cash-pay premium tier (concierge medicine partnerships)
19,firm_8,8,True,True,False,0.0,0,0,2000000.0,30.0,10.0,1000000.0,1,Global multi-region (no specific geographic concentration),Diabetic / metabolic-syndrome subset
19,firm_9,9,True,False,False,46250000.0,250,0,106346455.82553378,40.712617464,17.498784740413306,8300000.0,1,Direct-to-consumer telemedicine (no clinic dependency),Cardiovascular high-risk subset
19,firm_10,10,True,True,False,0.0,0,0,5000000.0,30.0,10.0,0.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
20,firm_0,0,False,False,True,0.0,0,0,444731341.057263,89.28291367288901,91.67301203473286,334600000.0,1,US Northeast (Boston/NY clinical network),Advanced-stage / late-onset patients seeking maximum efficacy
20,firm_1,1,True,False,False,27250000.0,250,0,142929736.05759907,53.31370237395785,57.36304849475047,82785000.0,1,US West Coast (Bay Area + LA medical centers),"Early-intervention candidates (pre-symptomatic, biomarker-positive)"
20,firm_2,2,True,False,False,26250000.0,250,0,1563864718.0302675,66.80403614260726,54.77337617431753,144020000.0,1,US Southeast (Miami/Atlanta hub),High-comorbidity patients with safety-first requirements
20,firm_3,3,True,False,False,26250000.0,250,0,238744912.9892594,35.41491492194699,43.29958898328217,11300000.0,1,US Midwest (Chicago/Cleveland Clinic relationships),Athletic / performance-oriented patients seeking peak healthspan
